Candidate_ID,Gender,Race,Age,Education,Experience_Years,Job_Role_Applied,Skills,Certifications,Screening_Score,Selected
mostlyfa-2bdb-493a-a0f3-ed9ab51f7aa9,Female,White,28,Bachelor,20,Software Engineer,_RARE_,None,77.2,No
mostly49-894b-433c-9d43-0030178044f6,Male,Hispanic,48,Master,0,Data Scientist,"Python, Git, SQL",PMP,69.8,Yes
mostlye8-47a9-4acb-ac11-63f4219927cf,Female,White,31,Master,16,Software Engineer,_RARE_,PMP,93.0,No
mostlyed-12b8-4915-825e-951390b65f19,Male,Hispanic,36,Bachelor,21,Software Engineer,"Scheduling, Scrum, Leadership",PMP,128.0,No
mostlye1-ac47-48d0-81ce-9ff776545637,Female,Hispanic,29,PhD,22,Project Manager,"Communication, Leadership, Conflict Resolution",PMP,70.5,No
mostlyd6-26f4-41d8-ac20-7c72cc32791b,Female,Black,20,PhD,24,HR Manager,"CRM, Negotiation, Presentation",Scrum Master,62.5,No
mostly56-00c3-4528-9973-1692dbfc50cb,Female,Hispanic,38,High School,5,Sales Executive,"Cold Calling, CRM, Presentation",None,90.4,No
mostlycc-de50-4908-b1d9-1bb8f7a299c3,Male,White,34,Master,20,Software Engineer,_RARE_,Scrum Master,38.2,No
mostlydf-4d54-4d07-8bbb-873e07f12b85,Male,Other,31,Bachelor,15,Software Engineer,"R, Statistics, Machine Learning",PMP,64.6,Yes
mostly9e-8d25-4c14-8bcb-6493bb7deb38,Female,Hispanic,33,Bachelor,7,Sales Executive,"Recruitment, HR Policies, Communication",None,88.7,Yes
mostlya2-51a2-4852-9c99-816ab25d58d3,Male,White,39,Bachelor,27,Software Engineer,"Deep Learning, Statistics, SQL",AWS,103.4,No
mostlyc5-5e0e-4214-b413-2f628378f06e,Male,Hispanic,36,Master,5,Project Manager,_RARE_,PMP,103.3,No
mostly49-8b58-4d71-8a6a-ab16f62bf81b,Male,White,36,Master,30,Project Manager,"Conflict Resolution, Leadership, Communication",None,39.8,Yes
mostlycd-623e-4ee1-b565-14a50b3ad373,Non-binary,Asian,24,Bachelor,0,Data Scientist,"Conflict Resolution, Communication, HR Policies",None,128.0,No
mostlycf-2e16-4695-8944-6203dff6b8b3,Male,Black,29,PhD,15,Data Scientist,"SQL, AWS, Git",AWS,68.0,No
mostly7d-0242-4292-841b-0c941fc92f11,Female,Asian,27,Master,16,Software Engineer,"Statistics, Deep Learning, SQL",AWS,73.6,No
mostlyff-62f1-4f29-b52c-54898d29b309,Non-binary,Black,28,High School,2,Data Scientist,_RARE_,None,96.0,No
mostly88-7368-44d1-ae7c-dd54e60019a2,Female,White,32,Bachelor,0,HR Manager,_RARE_,AWS,67.1,No
mostly73-132e-4910-92b8-e8c71c62daa8,Non-binary,Asian,32,PhD,0,Data Scientist,"AWS, SQL, C++",CFA,88.7,No
mostly3d-97ce-49d2-96e4-71d8c81e9f67,Male,Other,20,Bachelor,12,Data Scientist,"C++, Java, Python",None,82.3,No
mostly8c-b625-41fa-bc76-d180a5c6657a,Female,Black,53,High School,15,Sales Executive,_RARE_,None,83.6,No
mostlyba-2800-47ac-a1b4-766161a580a6,Female,Other,24,Bachelor,22,Sales Executive,"Machine Learning, R, Deep Learning",None,123.9,No
mostly9e-e6c3-47e1-a622-6753bb3f80df,Female,Black,32,PhD,9,Project Manager,"Recruitment, Communication, Leadership",None,69.6,No
mostly13-ca32-429f-ae52-a1df961c96ae,Female,Asian,39,Master,5,Sales Executive,"Scrum, Agile, Scheduling",None,77.9,No
mostlyd8-f452-4cc2-adc6-96991c1b85bd,Male,Black,30,Master,15,Software Engineer,"Agile, Scheduling, Leadership",None,46.7,No
mostlyc3-b55a-4aeb-9eb9-ebdd1d9b7cc8,Female,White,36,High School,10,Software Engineer,"Statistics, Python, Deep Learning",None,84.9,No
mostlyc7-b912-409c-b2c7-f6ad02f9437d,Male,Black,35,High School,13,HR Manager,"HR Policies, Conflict Resolution, Recruitment",None,62.4,Yes
mostly0d-636e-417a-8967-c165b3470336,Non-binary,Black,29,PhD,0,Data Scientist,"Git, SQL, AWS",AWS,121.4,Yes
mostly0c-3f8f-4f5f-a941-aa24bac8b775,Male,Asian,34,Master,6,Sales Executive,_RARE_,CFA,34.6,No
mostly3c-f4e5-4b8d-800d-321f7dcc267f,Male,Hispanic,24,Bachelor,0,Sales Executive,"CRM, Cold Calling, Negotiation",None,117.5,No
mostly72-0329-4f58-9dde-07af72bdbdd6,Female,Black,26,Master,2,Data Scientist,"Scheduling, Leadership, Agile",None,95.6,Yes
mostly63-b227-41cd-8158-8e42bf639bd4,Male,Asian,37,Master,0,Project Manager,"Statistics, SQL, Deep Learning",AWS,74.7,Yes
mostly2f-9b5c-44f1-a2e4-9b5417645c20,Female,Black,35,High School,30,Sales Executive,"Agile, Scheduling, Scrum",None,77.9,No
mostlyc2-57a1-4137-a6eb-0eada6764ef6,Male,Black,30,Bachelor,27,HR Manager,"Machine Learning, Python, Deep Learning",CFA,80.8,No
mostly53-797a-4a06-98ae-4c76618fa07a,Male,White,23,High School,30,Project Manager,_RARE_,Scrum Master,58.0,Yes
mostlyd6-93e9-4a68-865d-4ed0d001ec31,Male,Asian,30,PhD,3,HR Manager,"Recruitment, HR Policies, Conflict Resolution",None,66.1,No
mostlydc-33ab-4d00-a55a-257db41a52f2,Male,Asian,29,Bachelor,7,Project Manager,"SQL, Git, Java",Scrum Master,40.4,No
mostlyd8-564d-4027-9055-fcb75130e037,Non-binary,Asian,36,High School,2,Sales Executive,_RARE_,None,104.6,Yes
mostlya1-bdd7-47bb-97ef-209bd054df8b,Male,White,37,Bachelor,7,Software Engineer,"SQL, Statistics, Machine Learning",Scrum Master,73.6,No
mostly43-0bde-4987-8cba-27741073a6c1,Male,Asian,28,Bachelor,5,HR Manager,"Agile, Scrum, Budgeting",None,98.3,No
mostly48-a83a-4469-a7cc-3e222b63ae24,Female,Hispanic,39,Master,9,Project Manager,_RARE_,Scrum Master,52.7,No
mostlya6-4f0c-4503-bb2e-cd9575c38f70,Female,Black,23,Master,14,Project Manager,_RARE_,None,32.0,No
mostlybd-56e7-4ad3-b59f-5bb2dc0d3ffe,Non-binary,White,38,Bachelor,18,Project Manager,"Communication, Leadership, Recruitment",None,77.2,Yes
mostly89-f702-498e-9aac-9cf6376632fe,Non-binary,White,38,Bachelor,2,Sales Executive,"Leadership, Conflict Resolution, Recruitment",None,71.0,Yes
mostly3f-08a2-41ce-8942-0a8a01771594,Male,Black,57,High School,12,Project Manager,"Communication, HR Policies, Conflict Resolution",None,66.7,Yes
mostly8a-2c7f-484e-8170-31e6589f8841,Male,White,39,Master,18,HR Manager,"Presentation, CRM, Negotiation",AWS,76.8,No
mostlyd2-15ab-446f-8cde-338a0d046dba,Non-binary,Black,30,Bachelor,21,Data Scientist,"Budgeting, Scrum, Scheduling",None,69.3,No
mostlya5-033d-4e05-964f-11311c54a656,Male,Hispanic,30,Bachelor,22,HR Manager,"Negotiation, Cold Calling, Presentation",AWS,78.6,No
mostlyc2-53f5-4b63-9386-86c5358f9647,Male,Black,34,Master,3,Sales Executive,_RARE_,None,69.8,No
mostly17-c09a-45dc-bc03-44fce6be2c72,Female,Asian,29,Master,0,Sales Executive,"SQL, Statistics, Python",Scrum Master,82.5,No
